Flag,FlagCountry,Name,Draft,Beam,Length,Type,Origin,Destination,EstimatedDayArrival,ShippingCompany
LR,Libèria,GENOVA,13.52,32.26,294,Portacontenidors,Valencia,Izmir (Smyrna),29,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,AS FREYA,9.5,24.5,155,Portacontenidors,Tanger Med,Valencia,33,CMA CGM IBERICA SAU
LR,Libèria,CONTSHIP RAY,8.5,23.25,148,Càrrega (Lo-Lo),Marseille,Tanger Med,37,CMA CGM IBERICA SAU
LR,Libèria,CONTSHIP MAX,8.8,22.6,139,Portacontenidors,Alger (Algiers),Fos-sur-Mer,41,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC ALBANY,14.52,48.2,299,Portacontenidors,Valencia,Genoa,42,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC NAISHA III,11.4,29.8,207,Portacontenidors,Valencia,Gioia Tauro,45,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,AVRA MITERAS,9.32,23.5,157,Portacontenidors,Valencia,Bejaia (ex Bougie),47,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,GENOVA,12.6,32.26,260.71,Portacontenidors,Valencia,Izmir (Smyrna),50,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP RAY,8.5,23.25,148,Càrrega (Lo-Lo),Marseille,Bejaia (ex Bougie),53,CMA CGM IBERICA SAU
LR,Libèria,AVRA MITERAS,9.32,23.5,157,Portacontenidors,Valencia,Bejaia (ex Bougie),55,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,TENO,13.5,45.6,300,Portacontenidors,Valencia,Genoa,59,HAPAG LLOYD SPAIN SL
LR,Libèria,CONTSHIP RAY,8.5,23.25,148,Càrrega (Lo-Lo),Oran,Marseille,66,CMA CGM IBERICA SAU
LR,Libèria,GENOVA,13.52,32.26,294,Portacontenidors,Fos-sur-Mer,Valencia,68,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC IZMIR F,9.32,23.5,157.15,Portacontenidors,Tarragona,Casablanca,79,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP RAY,8.5,23.25,148,Càrrega (Lo-Lo),Marseille,Skikda (ex Philippeville),82,CMA CGM IBERICA SAU
LR,Libèria,MSC SIGMA F,8.51,23.25,148,Portacontenidors,Fos-sur-Mer,Alger (Algiers),84,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC AZURIT F,8.51,23.25,147.81,Portacontenidors,La Spezia,Tarragona,86,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,EM HYDRA,10.92,27.4,176,Portacontenidors,Marseille,Tanger Med,87,CMA CGM IBERICA SAU
LR,Libèria,CONTSHIP FUN,8.8,22.6,139,Portacontenidors,Marseille,Alger (Algiers),88,CMA CGM IBERICA SAU
LR,Libèria,MSC ROCHELLE,13.02,32.2,294,Portacontenidors,Tarragona,Malaga,88,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC ALTAMIRA,14.52,48.2,299,Portacontenidors,Algeciras,Gioia Tauro,91,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC RAYSHMI,48.2,48.2,314.94,Portacontenidors,Gioia Tauro,Valencia,94,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP MAX,8.8,22.6,139,Portacontenidors,Tarragona,Fos-sur-Mer,97,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC MANYA,12.52,32.2,235,Portacontenidors,Fos-sur-Mer,Valencia,99,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC ROBERTA,13.5,32.25,294,Portacontenidors,Valencia,Marsaxlokk,100,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC ALBANY,14.52,48.2,299,Portacontenidors,Valencia,Livorno,103,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC ISTANBUL,16.02,54,399,Portacontenidors,Alger (Algiers),King Abdullah City,104,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,ATLANTIC MERCHANT,8.51,23.25,148,Portacontenidors,Marseille,Djen-Djen,109,CMA CGM IBERICA SAU
LR,Libèria,CONTSHIP RAY,8.5,23.25,148,Càrrega (Lo-Lo),Marseille,Bejaia (ex Bougie),116,CMA CGM IBERICA SAU
LR,Libèria,CONTSHIP RAY,8.5,23.25,148,Càrrega (Lo-Lo),Valencia,Marseille,126,CMA CGM IBERICA SAU
LR,Libèria,EM HYDRA,10.92,27.4,176,Portacontenidors,Marseille,Tanger Med,128,CMA CGM IBERICA SAU
LR,Libèria,CONTSHIP RAY,8.5,23.25,148,Càrrega (Lo-Lo),Marseille,Bejaia (ex Bougie),130,CMA CGM IBERICA SAU
LR,Libèria,MSC SIGMA F,8.51,23.25,148,Portacontenidors,Fos-sur-Mer,Alger (Algiers),134,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP MAX,8.8,22.6,139,Portacontenidors,Bejaia (ex Bougie),Bejaia (ex Bougie),141,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC APOLLINE,16.5,61,399.77,Portacontenidors,Gioia Tauro,Valencia,141,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC ROBERTA,13.5,32.25,294,Portacontenidors,Valencia,Marsaxlokk,145,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC SIGMA F,8.51,23.25,148,Portacontenidors,Fos-sur-Mer,Alger (Algiers),148,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,NEOKASTRO,12.54,32.2,269,Portacontenidors,Genoa,Valencia,148,CMA CGM IBERICA SAU
LR,Libèria,CALYPSO,9.52,27.6,172,Portacontenidors,Valencia,Marseille,153,CMA CGM IBERICA SAU
LR,Libèria,VARNA BAY,14.5,45.6,340,Portacontenidors,Valencia,Sines,153,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC ALTAMIRA,14.52,48.2,299,Portacontenidors,Algeciras,Gioia Tauro,158,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC ALBANY,14.52,48.2,299,Portacontenidors,Valencia,Genoa,162,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP MAX,8.8,22.6,139,Portacontenidors,Alger (Algiers),Alger (Algiers),164,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,OPS HAMBURG,8.5,23.25,147.87,Portacontenidors,Marseille,Bejaia (ex Bougie),166,CMA CGM IBERICA SAU
LR,Libèria,MSC SAO PAULO,13.02,32.2,294,Portacontenidors,Valencia,Piraeus,168,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP FUN,8.8,22.6,139,Portacontenidors,Marseille,Oran,169,CMA CGM IBERICA SAU
LR,Libèria,CONTSHIP RAY,8.5,23.25,148,Càrrega (Lo-Lo),Marseille,Bejaia (ex Bougie),174,CMA CGM IBERICA SAU
LR,Libèria,TENO,13.5,45.6,300,Portacontenidors,Las Palmas,Valencia,174,HAPAG LLOYD SPAIN SL
LR,Libèria,MSC SIGMA F,8.51,23.25,148,Portacontenidors,Fos-sur-Mer,Alger (Algiers),177,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,OPS HAMBURG,8.5,23.25,147.87,Portacontenidors,Marseille,Tanger Med,179,CMA CGM IBERICA SAU
LR,Libèria,CONTSHIP OAK,8.51,23.25,148,Càrrega (Lo-Lo),Valencia,Bejaia (ex Bougie),181,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC CAPUCINE R,11.5,32.2,243.1,Portacontenidors,Valencia,Fos-sur-Mer,185,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC CAPUCINE R,11.5,32.2,243.1,Portacontenidors,Valencia,Genoa,199,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC SIGMA F,8.51,23.25,148,Portacontenidors,Valencia,Oran,200,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC ALDEBARAN III,12.15,32.24,207.3,Portacontenidors,Valencia,Fos-sur-Mer,200,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,NEOKASTRO,12.54,32.2,268.8,Portacontenidors,Genoa,Valencia,204,CMA CGM IBERICA SAU
LR,Libèria,MSC ALDEBARAN III,12.15,32.24,207.3,Portacontenidors,Valencia,Livorno,205,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP OAK,8.51,23.25,148,Càrrega (Lo-Lo),Fos-sur-Mer,Alger (Algiers),210,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC ARCHIMIDIS,14.5,43.2,317.8,Portacontenidors,Malaga,Fos-sur-Mer,212,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,OPS HAMBURG,8.5,23.25,147.87,Portacontenidors,Marseille,Tanger Med,215,CMA CGM IBERICA SAU
LR,Libèria,CONTSHIP MAX,8.8,22.6,139,Portacontenidors,Bejaia (ex Bougie),Skikda (ex Philippeville),215,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP RAY,8.5,23.25,148,Càrrega (Lo-Lo),Marseille,Tanger Med,216,CMA CGM IBERICA SAU
LR,Libèria,CONTSHIP MAX,8.8,22.6,139,Portacontenidors,Valencia,Skikda (ex Philippeville),224,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP FUN,8.8,22.6,139,Portacontenidors,Aliaga,Marseille,230,CMA CGM IBERICA SAU
LR,Libèria,MSC SAO PAULO,13.02,32.2,294,Portacontenidors,Valencia,Piraeus,230,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC MARITINA F,8.8,22.8,139.14,Càrrega (Lo-Lo),Fos-sur-Mer,Alger (Algiers),231,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP MAX,8.8,22.6,139,Portacontenidors,Valencia,Skikda (ex Philippeville),232,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP RAY,8.5,23.25,147.83,Càrrega (Lo-Lo),Marseille,Alger (Algiers),233,CMA CGM IBERICA SAU
LR,Libèria,MSC ALTAMIRA,14.52,48.2,299,Portacontenidors,Algeciras,Gioia Tauro,239,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,TENO,13.5,45.6,300,Portacontenidors,Valencia,Genoa,238,HAPAG LLOYD SPAIN SL
LR,Libèria,MSC SIGMA F,8.51,23.25,148,Portacontenidors,Fos-sur-Mer,Alger (Algiers),242,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC APOLLINE,16.5,61,399.77,Portacontenidors,Gioia Tauro,Valencia,239,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP RAY,8.5,23.25,147.83,Càrrega (Lo-Lo),Marseille,Alger (Algiers),254,CMA CGM IBERICA SAU
LR,Libèria,CONTSHIP MAX,8.8,22.6,139,Portacontenidors,Valencia,Skikda (ex Philippeville),256,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MAERSK PENANG,12.5,32.2,210.4,Portacontenidors,Tanger Med,Fos-sur-Mer,264,MARITIMA DEL MEDITERRANEO SA
LR,Libèria,MSC SAO PAULO,13.02,32.2,294,Portacontenidors,Valencia,Piraeus,267,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC MALENA,11.4,29.8,207.17,Portacontenidors,Valencia,Piraeus,272,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP MAX,8.8,22.6,139,Portacontenidors,Valencia,Annaba (ex Bone),273,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP FUN,8.8,22.6,139,Portacontenidors,Marsaxlokk,Marseille,273,CMA CGM IBERICA SAU
LR,Libèria,CONTSHIP RAY,8.5,23.25,147.83,Càrrega (Lo-Lo),Marseille,Alger (Algiers),274,CMA CGM IBERICA SAU
LR,Libèria,MSC ALBANY,14.52,48.2,299,Portacontenidors,Valencia,Genoa,276,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC CHARLOTTE,8.51,23.25,147.84,Portacontenidors,Alger (Algiers),La Spezia,279,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC AZURIT F,8.51,23.25,147.81,Portacontenidors,Fos-sur-Mer,Alger (Algiers),288,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC SIGMA F,8.51,23.25,148,Portacontenidors,Alger (Algiers),Oran,288,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,TENO,13.5,45.6,300,Portacontenidors,Valencia,Genoa,290,HAPAG LLOYD SPAIN SL
LR,Libèria,MSC MARIA CLARA,13.5,32.2,294.05,Portacontenidors,Halifax,Livorno,293,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP FUN,8.8,22.6,139,Portacontenidors,Aliaga,Marseille,294,CMA CGM IBERICA SAU
LR,Libèria,MAERSK PENANG,12.5,32.2,210.4,Portacontenidors,Vado Ligure,Algeciras,301,MARITIMA DEL MEDITERRANEO SA
LR,Libèria,MSC SIGMA F,8.51,23.25,148,Portacontenidors,Valencia,Skikda (ex Philippeville),303,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC SAO PAULO,13.02,32.2,294,Portacontenidors,Valencia,Piraeus,303,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP RAY,8.5,23.25,147.83,Càrrega (Lo-Lo),Marseille,Oran,304,CMA CGM IBERICA SAU
LR,Libèria,MSC LILO F,7.7,22.7,133.7,Portacontenidors,Valencia,Annaba (ex Bone),307,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,POMERENIA SKY,11.6,29.8,208.93,Portacontenidors,La Spezia,Fos-sur-Mer,308,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC SIGMA F,8.51,23.25,148,Portacontenidors,Valencia,Skikda (ex Philippeville),310,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP OAK,8.51,23.25,148,Càrrega (Lo-Lo),Valencia,Oran,312,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MAERSK PENANG,12.5,32.2,210.4,Portacontenidors,Vado Ligure,Algeciras,313,MARITIMA DEL MEDITERRANEO SA
LR,Libèria,NEOKASTRO,12.54,32.2,268.8,Portacontenidors,Genoa,Valencia,315,CMA CGM IBERICA SAU
LR,Libèria,MSC ALTAMIRA,14.52,48.2,299,Portacontenidors,Valencia,Genoa,315,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC SIGMA F,8.51,23.25,148,Portacontenidors,Sines,Alger (Algiers),323,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC LILO F,7.7,22.7,133.7,Portacontenidors,Valencia,Skikda (ex Philippeville),324,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC ALDEBARAN III,12.15,32.24,207.3,Portacontenidors,Valencia,Fos-sur-Mer,325,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC AZURIT F,8.51,23.25,147.81,Portacontenidors,Fos-sur-Mer,Alger (Algiers),328,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP OAK,8.51,23.25,148,Càrrega (Lo-Lo),Valencia,Oran,330,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC SAO PAULO,13.02,32.2,294,Portacontenidors,Fos-sur-Mer,Valencia,331,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC MARITINA F,8.8,22.8,139.14,Càrrega (Lo-Lo),Genoa,Fos-sur-Mer,331,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC ALBANY,14.52,48.2,299,Portacontenidors,Las Palmas,Livorno,333,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC LILO F,7.7,22.7,133.7,Portacontenidors,Valencia,Skikda (ex Philippeville),338,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP OAK,8.51,23.25,148,Càrrega (Lo-Lo),Tarragona,Alger (Algiers),339,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC AZURIT F,8.51,23.25,147.81,Portacontenidors,Fos-sur-Mer,Alger (Algiers),339,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC JULIANA III,11.5,30.2,210.05,Portacontenidors,Valencia,Fos-sur-Mer,341,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MAERSK PENANG,12.5,32.2,210.4,Portacontenidors,Vado Ligure,Algeciras,342,MARITIMA DEL MEDITERRANEO SA
LR,Libèria,MSC MARITINA F,8.8,22.8,139.14,Càrrega (Lo-Lo),Valencia,Piraeus,343,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC SINGAPORE,12.63,32.25,259.8,Portacontenidors,Tekirdag,Valencia,345,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,OPS HAMBURG,8.5,23.25,147.87,Portacontenidors,Marseille,Alger (Algiers),345,CMA CGM IBERICA SAU
LR,Libèria,CONTSHIP RAY,8.5,23.25,147.83,Càrrega (Lo-Lo),Marseille,Tanger Med,346,CMA CGM IBERICA SAU
LR,Libèria,CORCOVADO,14,48.2,299.9,Portacontenidors,Hamburg,Genoa,347,HAPAG LLOYD SPAIN SL
LR,Libèria,MSC SAO PAULO,13.02,32.2,294,Portacontenidors,Valencia,Piraeus,350,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC LILO F,7.7,22.7,133.7,Portacontenidors,Valencia,Fos-sur-Mer,352,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC AZURIT F,8.51,23.25,147.81,Portacontenidors,Fos-sur-Mer,Alger (Algiers),353,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP FUN,8.8,22.6,139,Portacontenidors,Aliaga,Marseille,356,CMA CGM IBERICA SAU
LT,Lituània,KANTATA,8.51,23.25,147.84,Portacontenidors,Valencia,Oran,15,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,SONATA,8.51,23.25,148,Portacontenidors,Valencia,Skikda (ex Philippeville),41,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,KANTATA,8.51,23.25,147.84,Portacontenidors,Valencia,Oran,42,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,KANTATA,8.51,23.25,147.84,Portacontenidors,Oran,Valencia,47,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,KANTATA,8.51,23.25,147.84,Portacontenidors,Valencia,Oran,66,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,SONATA,8.51,23.25,148,Portacontenidors,Valencia,Oran,142,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,SONATA,8.51,23.25,148,Portacontenidors,Valencia,Oran,152,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,KANTATA,8.51,23.25,147.84,Portacontenidors,Fos-sur-Mer,Alger (Algiers),155,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,TOKATA,8.5,23.25,148,Portacontenidors,Alger (Algiers),Alger (Algiers),157,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,SONATA,8.51,23.25,148,Portacontenidors,Valencia,Oran,162,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,SONATA,8.51,23.25,148,Portacontenidors,Valencia,Oran,182,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,KANTATA,8.51,23.25,147.84,Portacontenidors,La Spezia,Alger (Algiers),188,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,SONATA,8.51,23.25,148,Portacontenidors,Valencia,Oran,204,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,SONATA,8.51,23.25,148,Portacontenidors,Valencia,Oran,216,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,SONATA,8.51,23.25,148,Portacontenidors,Valencia,Oran,227,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,SONATA,8.51,23.25,148,Portacontenidors,Valencia,Oran,241,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,SONATA,8.51,23.25,148,Portacontenidors,Valencia,Oran,263,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,SONATA,8.51,23.25,148,Portacontenidors,Valencia,Oran,298,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,SONATA,8.51,23.25,148,Portacontenidors,Valencia,Oran,309,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,SONATA,8.51,23.25,148,Portacontenidors,Valencia,Oran,327,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,KANTATA,8.51,23.25,147.84,Portacontenidors,Fos-sur-Mer,Alger (Algiers),346,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MH,Illes Marshall,ALEXIS,14.55,42.8,271,Portacontenidors,Genoa,Valencia,50,CMA CGM IBERICA SAU
MH,Illes Marshall,SEAMAX DARIEN,15.03,42.8,322.97,Portacontenidors,Algeciras,Gioia Tauro,99,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MH,Illes Marshall,SEAMAX NEW HAVEN,14.52,42.8,334,Portacontenidors,Piraeus,Sines,119,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MH,Illes Marshall,CARLA-LIV,9.89,25.3,184,Portacontenidors,Valencia,Casablanca,163,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MH,Illes Marshall,SEAMAX DARIEN,15.03,42.8,322.97,Portacontenidors,Algeciras,Gioia Tauro,169,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MH,Illes Marshall,MORAGA,9.2,25.6,158.75,Portacontenidors,Marseille,Alger (Algiers),181,CMA CGM IBERICA SAU
MH,Illes Marshall,SEAMAX NEW HAVEN,14.52,42.8,334,Portacontenidors,Valencia,Genoa,184,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MH,Illes Marshall,KATHERINE,14.5,42.8,270,Portacontenidors,Marseille,Valencia,294,CMA CGM IBERICA SAU
MH,Illes Marshall,KATHERINE,14.5,42.8,270.06,Portacontenidors,Marseille,Valencia,352,CMA CGM IBERICA SAU
MT,Malta,MERITO,8.6,23.1,150,Portacontenidors,Valencia,Bejaia (ex Bougie),27,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,MERITO,8.6,23.1,150,Portacontenidors,Valencia,Bejaia (ex Bougie),52,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,MSC ATHOS,14.5,48.2,299.95,Portacontenidors,Valencia,Genoa,70,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,VASSILIS A,8.25,22.6,146,Portacontenidors,Marseille,Valencia,82,CMA CGM IBERICA SAU
MT,Malta,CMA CGM DIGNITY,16,51,366,Portacontenidors,Genoa,Valencia,86,CMA CGM IBERICA SAU
MT,Malta,LION,10.5,26.5,189,Portacontenidors,Marseille,Tanger Med,100,CMA CGM IBERICA SAU
MT,Malta,MSC AJACCIO,14.5,48.2,300,Portacontenidors,Valencia,Genoa,108,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,CMA CGM BALI,16,51,366,Portacontenidors,Valencia,Fos-sur-Mer,112,CMA CGM IBERICA SAU
MT,Malta,MSC ATHOS,14.5,48.2,299.95,Portacontenidors,Valencia,Gioia Tauro,124,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,CMA CGM IGUACU,16,51,366,Portacontenidors,Valencia,Fos-sur-Mer,126,CMA CGM IBERICA SAU
MT,Malta,CMA CGM VOLTAIRE,14.52,42.8,270.07,Portacontenidors,Marseille,Valencia,143,CMA CGM IBERICA SAU
MT,Malta,MERITO,8.6,23.1,150,Portacontenidors,Valencia,Skikda (ex Philippeville),164,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,MSC AJACCIO,14.5,48.2,300,Portacontenidors,Valencia,Genoa,167,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,MERITO,8.6,23.1,150,Portacontenidors,Valencia,Skikda (ex Philippeville),177,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,MERITO,8.6,23.1,150,Portacontenidors,Valencia,Bejaia (ex Bougie),182,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,MERITO,8.6,23.1,150,Portacontenidors,Bejaia (ex Bougie),Valencia,188,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,CMA CGM BALI,16,51,366,Portacontenidors,Valencia,Fos-sur-Mer,203,CMA CGM IBERICA SAU
MT,Malta,MERITO,8.6,23.1,150,Portacontenidors,Valencia,Bejaia (ex Bougie),214,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,CMA CGM IGUACU,16,51,366,Portacontenidors,Valencia,Fos-sur-Mer,213,CMA CGM IBERICA SAU
MT,Malta,MERITO,8.6,23.1,150,Portacontenidors,Bejaia (ex Bougie),Bejaia (ex Bougie),234,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,CMA CGM INTEGRITY,16,51,366,Portacontenidors,Valencia,Marseille,259,CMA CGM IBERICA SAU
MT,Malta,CMA CGM SCANDOLA,16,51,366,Portacontenidors,Valencia,Fos-sur-Mer,273,CMA CGM IBERICA SAU
MT,Malta,CMA CGM HOPE,16,51,366,Portacontenidors,Valencia,Fos-sur-Mer,282,CMA CGM IBERICA SAU
MT,Malta,MSC AJACCIO,14.5,48.2,299.84,Portacontenidors,Valencia,Genoa,285,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,MSC AZOV,14.5,48.19,299.87,Portacontenidors,Jacksonville,Marsaxlokk,300,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,CMA CGM IGUACU,16,51,366,Portacontenidors,Valencia,Fos-sur-Mer,300,CMA CGM IBERICA SAU
MT,Malta,MSC ATHOS,14.5,48.2,299.95,Portacontenidors,Valencia,Genoa,302,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,MSC AZOV,14.5,48.19,299.87,Portacontenidors,Jacksonville,Marsaxlokk,301,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,MSC AZOV,14.5,48.19,299.87,Portacontenidors,Jacksonville,Marsaxlokk,303,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,MERITO,8.6,23.1,150,Portacontenidors,Valencia,Oran,306,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
